"site_id","order_id","payload_id","material","design_qty","design_qty_uom","required_qty","required_qty_uom","batched_qty","batched_qty_uom","variation"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","475","45.85","oz","504.35","oz","504.00","oz","-0.07"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","FLYASH","131.00","lb","1441.00","lb","1420.00","lb","-1.46"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","CEMENT","524.00","lb","5764.00","lb","5770.00","lb","0.10"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","V-2100","19.65","oz","216.15","oz","214.00","oz","-0.99"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","3/8""","377.00","lb","4152.81","lb","4150.00","lb","-0.07"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","SAND_1","1339.00","lb","15170.87","lb","15250.00","lb","0.52"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","3/4""","1496.00","lb","16456.00","lb","16450.00","lb","-0.04"
"7a7b13ad-e08f-440e-98ae-00358447798b","afd17149-de07-42e7-94dc-b7e25a23672c","f15e618c-33fd-43a8-8911-45d7240f4ae3","WATER1","262.40","lb","2053.72","lb","2070.00","lb","0.79"
"7a7b13ad-e08f-440e-98ae-00358447798b","d5316827-b649-4403-87d8-de8d26aa5b02","325071c8-ab01-4aea-a628-03a4a9dd3ee5","SAND_1","1037.00","lb","11749.21","lb","11750.00","lb","0.01"
"7a7b13ad-e08f-440e-98ae-00358447798b","d5316827-b649-4403-87d8-de8d26aa5b02","325071c8-ab01-4aea-a628-03a4a9dd3ee5","3/8""","643.00","lb","7091.39","lb","7150.00","lb","0.83"
"7a7b13ad-e08f-440e-98ae-00358447798b","d5316827-b649-4403-87d8-de8d26aa5b02","325071c8-ab01-4aea-a628-03a4a9dd3ee5","CEMENT","602.00","lb","6622.00","lb","6590.00","lb","-0.48"
"7a7b13ad-e08f-440e-98ae-00358447798b","d5316827-b649-4403-87d8-de8d26aa5b02","325071c8-ab01-4aea-a628-03a4a9dd3ee5","475","82.75","oz","910.25","oz","909.00","oz","-0.14"
"7a7b13ad-e08f-440e-98ae-00358447798b","d5316827-b649-4403-87d8-de8d26aa5b02","325071c8-ab01-4aea-a628-03a4a9dd3ee5","3/4""","1227.00","lb","13514.55","lb","13450.00","lb","-0.48"
"7a7b13ad-e08f-440e-98ae-00358447798b","d5316827-b649-4403-87d8-de8d26aa5b02","325071c8-ab01-4aea-a628-03a4a9dd3ee5","WATER1","285.72","lb","1427.87","lb","1434.00","lb","0.43"
