"payload_id","material","design_qty","design_qty_uom","required_qty","required_qty_uom","batched_qty","batched_qty_uom","variation"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","RETARDER","43.92","oz","483.07","oz","482.00","oz","-0.22"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","COR_INHB","2.99","gl","32.89","gl","32.75","gl","-0.43"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","AEA","2.99","oz","32.89","oz","33.00","oz","0.33"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","CEMENT","599.00","lb","6589.00","lb","6590.00","lb","0.02"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","WATER2","50.00","%","126.22","%","126.30","%","0.07"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","3/4""","1017.00","lb","11242.94","lb","11160.00","lb","-0.74"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","7620","31.92","oz","351.12","oz","351.00","oz","-0.03"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","MAN_SAND","198.00","lb","2265.12","lb","2240.00","lb","-1.11"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","FLYASH","200.00","lb","2200.00","lb","2270.00","lb","3.18"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","MHD_SAND","794.00","lb","9083.36","lb","9000.00","lb","-0.92"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","WATER1","32.40","gl","126.22","gl","131.22","gl","3.96"
"5928f13e-0b81-492a-899f-1d5c8b8eeb0f","3/8""","698.00","lb","7777.81","lb","7740.00","lb","-0.49"
"f04162f4-b23d-40b0-9746-1d827413ec6d","3/4""","999.00","lb","10999.99","lb","10960.00","lb","-0.36"
"f04162f4-b23d-40b0-9746-1d827413ec6d","MHD_SAND","858.00","lb","9768.33","lb","9740.00","lb","-0.29"
"f04162f4-b23d-40b0-9746-1d827413ec6d","3/8""","760.00","lb","8401.80","lb","8420.00","lb","0.22"
"f04162f4-b23d-40b0-9746-1d827413ec6d","MAN_SAND","157.00","lb","1787.45","lb","1780.00","lb","-0.42"
"f04162f4-b23d-40b0-9746-1d827413ec6d","WATER1","34.50","gl","89.80","gl","90.23","gl","0.49"
"f04162f4-b23d-40b0-9746-1d827413ec6d","CEMENT","602.00","lb","6622.00","lb","6600.00","lb","-0.33"
"f04162f4-b23d-40b0-9746-1d827413ec6d","AEA","1.60","oz","17.60","oz","17.50","oz","-0.57"
"f04162f4-b23d-40b0-9746-1d827413ec6d","WATER2","50.00","%","89.80","%","90.11","%","0.35"
"f04162f4-b23d-40b0-9746-1d827413ec6d","FLYASH","150.00","lb","1650.00","lb","1640.00","lb","-0.61"
"f04162f4-b23d-40b0-9746-1d827413ec6d","7620","26.31","oz","289.41","oz","289.00","oz","-0.14"
"f70256f4-d040-45a5-82ad-794c3fdeed51","WATER2","50.00","%","82.71","%","82.68","%","-0.03"
"f70256f4-d040-45a5-82ad-794c3fdeed51","3/8""","1675.00","lb","16817.00","lb","16820.00","lb","0.02"
"f70256f4-d040-45a5-82ad-794c3fdeed51","7620","51.00","oz","510.00","oz","510.00","oz","0.00"
"f70256f4-d040-45a5-82ad-794c3fdeed51","MHD_SAND","1156.00","lb","11906.80","lb","11920.00","lb","0.11"
"f70256f4-d040-45a5-82ad-794c3fdeed51","WATER1","33.50","gl","82.71","gl","82.68","gl","-0.03"
"f70256f4-d040-45a5-82ad-794c3fdeed51","RETARDER","12.75","oz","127.50","oz","127.00","oz","-0.39"
"f70256f4-d040-45a5-82ad-794c3fdeed51","SF_CEM","680.00","lb","6800.00","lb","6800.00","lb","0.00"
"f70256f4-d040-45a5-82ad-794c3fdeed51","FLYASH","170.00","lb","1700.00","lb","1720.00","lb","1.18"
"b0121e6f-1381-4bdb-9e76-98b4a15de18a","WATER1","279.06","lb","1980.36","lb","1996.00","lb","0.79"
"b0121e6f-1381-4bdb-9e76-98b4a15de18a","SF_CEM","800.00","lb","8000.00","lb","8000.00","lb","0.00"
"b0121e6f-1381-4bdb-9e76-98b4a15de18a","FLYASH","200.00","lb","2000.00","lb","1990.00","lb","-0.50"
"b0121e6f-1381-4bdb-9e76-98b4a15de18a","SAND_1","1038.00","lb","10774.44","lb","10750.00","lb","-0.23"
"b0121e6f-1381-4bdb-9e76-98b4a15de18a","Z60","30.00","oz","300.00","oz","299.00","oz","-0.33"
"b0121e6f-1381-4bdb-9e76-98b4a15de18a","7620","80.00","oz","800.00","oz","798.00","oz","-0.25"
"b0121e6f-1381-4bdb-9e76-98b4a15de18a","LIT_3/8""","1658.00","lb","16745.80","lb","16700.00","lb","-0.27"
"70787182-7d3f-4db4-9c96-d645bf3757f8","MAN_SAND","193.00","lb","2207.92","lb","2200.00","lb","-0.36"
"70787182-7d3f-4db4-9c96-d645bf3757f8","AEA","2.50","oz","27.50","oz","27.50","oz","0.00"
"70787182-7d3f-4db4-9c96-d645bf3757f8","WATER2","50.00","%","150.46","%","150.27","%","-0.13"
"70787182-7d3f-4db4-9c96-d645bf3757f8","FLYASH","170.00","lb","1870.00","lb","1860.00","lb","-0.53"
"70787182-7d3f-4db4-9c96-d645bf3757f8","CEMENT","680.00","lb","7480.00","lb","7470.00","lb","-0.13"
